student_id,course_code
24001001,CSC101
24001002,CSC101
24001003,CSC101
24001004,CSC101
24001005,CSC101
24001006,CSC101
24001007,CSC101
24001008,CSC101
24001009,CSC101
24001010,CSC101
24001011,CSC101
24001012,CSC101
24001013,CSC101
24001014,CSC101
24001015,CSC101
24001016,CSC101
24001017,CSC101
24001018,CSC101
24001019,CSC101
24001020,CSC101
24001021,CSC201
24001022,CSC201
24001023,CSC201
24001024,CSC201
24001025,CSC201
24001026,CSC201
24001027,CSC201
24001028,CSC201
24001029,CSC201
24001030,CSC201
24001031,CSC201
24001032,CSC201
24001033,CSC201
24001034,CSC201
24001035,CSC201
24001036,CSC201
24001037,CSC201
24001038,CSC201
24001039,CSC201
24001040,CSC201
24001041,CSC301
24001042,CSC301
24001043,CSC301
24001044,CSC301
24001045,CSC301
24001046,CSC301
24001047,CSC301
24001048,CSC301
24001049,CSC301
24001050,CSC301
24001051,CSC301
24001052,CSC301
24001053,CSC301
24001054,CSC301
24001055,CSC301
24001056,CSC301
24001057,CSC301
24001058,CSC301
24001059,CSC301
24001060,CSC301
24001061,ICT202
24001062,ICT202
24001063,ICT202
24001064,ICT202
24001065,ICT202
24001066,ICT202
24001067,ICT202
24001068,ICT202
24001069,ICT202
24001070,ICT202
24001071,ICT202
24001072,ICT202
24001073,ICT202
24001074,ICT202
24001075,ICT202
24001076,ICT202
24001077,ICT202
24001078,ICT202
24001079,ICT202
24001080,ICT202
24001081,ICT401
24001082,ICT401
24001083,ICT401
24001084,ICT401
24001085,ICT401
24001086,ICT401
24001087,ICT401
24001088,ICT401
24001089,ICT401
24001090,ICT401
24001091,ICT401
24001092,ICT401
24001093,ICT401
24001094,ICT401
24001095,ICT401
24001096,ICT401
24001097,ICT401
24001098,ICT401
24001099,ICT401
24001100,ICT401
